pert_iname_compound,gene,y_prob,classifier,formulation,features,gene_rank,gene_pct,compound_rank,compound_pct,gene_compound_global_rank,gene_compound_global_pct,gene_compound_local_pct,n_connected_genes_train,connected_genes_train,n_connected_compounds_train,connected_compounds_train,any_connected_train,which_connected_train
amlodipine,CACNA2D3,0.9963034772999212,cosine,compound,crispr_avg,40,0.25,32,0.5161290322580645,2336,0.23548387096774193,0.38306451612903225,0,,1,nilvadipine,TRUE,compound
azeliragon,AGER,0.983656021064008,cosine,compound,crispr_avg,59,0.36875,48,0.7741935483870968,5700,0.5745967741935484,0.5714717741935484,0,,0,,FALSE,neither
brinzolamide,CA14,0.9949553144270522,cosine,compound,crispr_avg,97,0.60625,15,0.24193548387096775,3222,0.32479838709677417,0.42409274193548385,0,,3,carzenide|coumarin|ethoxzolamide,TRUE,compound
brinzolamide,CA5A,0.9975681796668388,cosine,compound,crispr_avg,37,0.23125,21,0.3387096774193548,1233,0.12429435483870968,0.2849798387096774,0,,1,ethoxzolamide,TRUE,compound
cilostazol,PDE3A,0.9988845017112756,cosine,compound,crispr_avg,1,0.00625,8,0.12903225806451613,181,0.01824596774193548,0.06764112903225807,0,,3,Ro-20-1724|dyphylline|ibudilast,TRUE,compound
danusertib,AURKB,0.8564241396857871,cosine,compound,crispr_avg,1,0.00625,57,0.9193548387096774,8145,0.8210685483870968,0.4628024193548387,0,,3,AMG900|GSK1070916|orantinib,TRUE,compound
danusertib,NTRK1,0.8281316790439364,cosine,compound,crispr_avg,69,0.43125,57,0.9193548387096774,8361,0.8428427419354839,0.6753024193548387,0,,2,LOXO-101|regorafenib,TRUE,compound
danusertib,RET,0.8344460685080621,cosine,compound,crispr_avg,14,0.0875,57,0.9193548387096774,8255,0.8321572580645161,0.5034274193548387,0,,3,PP-1|ponatinib|regorafenib,TRUE,compound
delanzomib,CTSG,0.8695504823195558,cosine,compound,crispr_avg,100,0.625,55,0.8870967741935484,7970,0.8034274193548387,0.7560483870967742,0,,1,aloxistatin,TRUE,compound
delanzomib,CYP3A4,0.8726947862744996,cosine,compound,crispr_avg,68,0.425,56,0.9032258064516128,7900,0.7963709677419355,0.6641129032258064,0,,7,BMS-536924|GSK1070916|SB-203580|cyclophosphamide|methoxsalen|nevirapine|paliperidone,TRUE,compound
delanzomib,ELANE,0.8726978499866219,cosine,compound,crispr_avg,67,0.41875,55,0.8870967741935484,7899,0.7962701612903226,0.6529233870967742,0,,0,,FALSE,neither
diacerein,IL1B,0.9918208645228008,cosine,compound,crispr_avg,63,0.39375,41,0.6612903225806451,4453,0.4488911290322581,0.5275201612903225,0,,3,JTE-607|ibudilast|minocycline,TRUE,compound
diltiazem,CACNG1,0.999036115240086,cosine,compound,crispr_avg,22,0.1375,3,0.04838709677419355,118,0.01189516129032258,0.0929435483870968,0,,2,ibutilide|lercanidipine,TRUE,compound
diltiazem,HTR3A,0.9992688017199016,cosine,compound,crispr_avg,9,0.05625,3,0.04838709677419355,35,0.00352822580645161,0.05231854838709678,0,,3,aripiprazole|olanzapine|procaine,TRUE,compound
edoxaban,F10,0.9954079325830072,cosine,compound,crispr_avg,71,0.44375,32,0.5161290322580645,2930,0.29536290322580644,0.47993951612903224,0,,0,,FALSE,neither
efaproxiral,HBB,0.9981417311599096,cosine,compound,crispr_avg,31,0.19375,9,0.14516129032258066,694,0.06995967741935484,0.16945564516129033,0,,0,,FALSE,neither
efaroxan,ADORA2A,0.97734609527304,cosine,compound,crispr_avg,131,0.81875,15,0.24193548387096775,6082,0.6131048387096775,0.5303427419354838,0,,3,ANR-94|N6-cyclopentyladenosine|dyphylline,TRUE,compound
enilconazole,CYP1A2,0.9982311554662622,cosine,compound,crispr_avg,1,0.00625,13,0.20967741935483872,613,0.06179435483870968,0.10796370967741936,0,,2,methoxsalen|nevirapine,TRUE,compound
enilconazole,CYP3A4,0.9910511309670168,cosine,compound,crispr_avg,110,0.6875,31,0.5,4687,0.4724798387096774,0.59375,0,,7,BMS-536924|GSK1070916|SB-203580|cyclophosphamide|methoxsalen|nevirapine|paliperidone,TRUE,compound
filgotinib,JAK1,0.9961386565374328,cosine,compound,crispr_avg,21,0.13125,32,0.5161290322580645,2470,0.24899193548387097,0.32368951612903224,0,,2,TG-101348|ruxolitinib,TRUE,compound
flindokalner,KCNMA1,0.7294543707425971,cosine,compound,crispr_avg,153,0.95625,43,0.6935483870967742,8832,0.8903225806451613,0.8248991935483871,0,,2,NS-11021|procaine,TRUE,compound
flindokalner,KCNN4,0.8943627181314724,cosine,compound,crispr_avg,143,0.89375,37,0.5967741935483871,7456,0.7516129032258064,0.7452620967741936,0,,4,1-EBIO|NS-309|enflurane|procaine,TRUE,compound
flindokalner,KCNQ2,0.8730630926216443,cosine,compound,crispr_avg,146,0.9125,40,0.6451612903225806,7890,0.7953629032258065,0.7788306451612903,0,,2,dalfampridine|meclofenamic-acid,TRUE,compound
flupirtine,KCNQ2,0.4304914240004349,cosine,compound,crispr_avg,10,0.0625,60,0.967741935483871,9431,0.9507056451612904,0.5151209677419355,0,,2,dalfampridine|meclofenamic-acid,TRUE,compound
gabapentin-enacarbil,CACNA2D3,0.9945692762563694,cosine,compound,crispr_avg,33,0.20625,38,0.6129032258064516,3443,0.34707661290322583,0.4095766129032258,0,,1,nilvadipine,TRUE,compound
gabapentin-enacarbil,CACNB4,0.932739831392748,cosine,compound,crispr_avg,140,0.875,1,0.01612903225806451,7089,0.714616935483871,0.44556451612903225,0,,0,,FALSE,neither
gabapentin-enacarbil,CACNG1,0.9948342921821728,cosine,compound,crispr_avg,20,0.125,38,0.6129032258064516,3300,0.3326612903225806,0.3689516129032258,0,,2,ibutilide|lercanidipine,TRUE,compound
ixabepilone,TUBB,0.8958993945874477,cosine,compound,crispr_avg,1,0.00625,53,0.8548387096774194,7442,0.7502016129032258,0.4305443548387097,0,,3,colchicine|epothilone-b|oxibendazole,TRUE,compound
ixabepilone,TUBB3,0.8920700489386105,cosine,compound,crispr_avg,16,0.1,53,0.8548387096774194,7491,0.755141129032258,0.4774193548387097,0,,2,colchicine|epothilone-b,TRUE,compound
ixabepilone,TUBB4B,0.8886632232228131,cosine,compound,crispr_avg,70,0.4375,54,0.8709677419354839,7578,0.7639112903225806,0.654233870967742,0,,3,colchicine|epothilone-b|oxibendazole,TRUE,compound
menadione,F10,0.9977077254462344,cosine,compound,crispr_avg,37,0.23125,7,0.1129032258064516,1085,0.109375,0.17207661290322582,0,,0,,FALSE,neither
prasugrel,P2RY12,0.9982586169139164,cosine,compound,crispr_avg,7,0.04375,10,0.16129032258064516,588,0.05927419354838709,0.10252016129032256,0,,1,AZD1283,TRUE,compound
quinine,KCNN4,0.9060159241917464,cosine,compound,crispr_avg,143,0.89375,6,0.0967741935483871,7340,0.7399193548387096,0.4952620967741936,0,,4,1-EBIO|NS-309|enflurane|procaine,TRUE,compound
racecadotril,MME,0.9968132241725972,cosine,compound,crispr_avg,36,0.225,24,0.3870967741935484,1916,0.19314516129032255,0.3060483870967742,0,,1,sacubitril,TRUE,compound
saclofen,KCTD16,0.9929645558943634,cosine,compound,crispr_avg,98,0.6125,30,0.4838709677419355,4082,0.411491935483871,0.5481854838709678,0,,1,baclofen,TRUE,compound
sorbinil,AKR1B1,0.9974613509279092,cosine,compound,crispr_avg,29,0.18125,18,0.2903225806451613,1336,0.1346774193548387,0.23578629032258064,0,,1,citric-acid,TRUE,compound
sotrastaurin,PRKCB,0.9965817982183788,cosine,compound,crispr_avg,16,0.1,32,0.5161290322580645,2109,0.21260080645161292,0.30806451612903224,0,,2,CGP-53353|vitamin-E,TRUE,compound
sotrastaurin,PRKCE,0.9954694777650004,cosine,compound,crispr_avg,53,0.33125,31,0.5,2876,0.2899193548387097,0.415625,0,,1,afimoxifene,TRUE,compound
taladegib,DHH,0.9972657896075698,cosine,compound,crispr_avg,79,0.49375,4,0.06451612903225806,1515,0.15272177419354838,0.27913306451612907,0,,1,M-25,TRUE,compound
thiostrepton,FOXM1,0.8869996749788706,cosine,compound,crispr_avg,145,0.453125,30,0.4838709677419355,7628,0.7689516129032258,0.46849798387096775,0,,0,,FALSE,neither
thiostrepton,FOXM1,0.1284305480283798,cosine,compound,crispr_avg,305,0.953125,61,0.9838709677419356,9745,0.982358870967742,0.9684979838709676,0,,0,,FALSE,neither
triamterene,SCNN1G,0.9978422711712056,cosine,compound,crispr_avg,42,0.2625,15,0.24193548387096775,965,0.0972782258064516,0.25221774193548385,0,,1,benzamil,TRUE,compound
1-octanol,GJB4,0.00260329579999999,transformer,compound,crispr_avg,48,0.3,31,0.5,2998,0.3022177419354839,0.4,0,,1,flufenamic-acid,TRUE,compound
"2,5-furandimethanol",HBB,1.318193665e-4,transformer,compound,crispr_avg,78,0.4875,48,0.7741935483870968,5259,0.5301411290322581,0.6308467741935484,0,,0,,FALSE,neither
2-Oleoylglycerol,GPR119,0.008620511,transformer,compound,crispr_avg,41,0.25625,18,0.2903225806451613,1793,0.1807459677419355,0.27328629032258067,0,,0,,FALSE,neither
A-987306,AVPR1A,3.0015219e-4,transformer,compound,crispr_avg,75,0.46875,36,0.5806451612903226,4603,0.4640120967741935,0.5246975806451613,0,,1,conivaptan,TRUE,compound
A-987306,CCR1,0.01153344965,transformer,compound,crispr_avg,35,0.21875,12,0.1935483870967742,1381,0.13921370967741936,0.2061491935483871,0,,1,ZK811752,TRUE,compound
A-987306,CHRM2,2.2210191e-4,transformer,compound,crispr_avg,77,0.48125,10,0.16129032258064516,4823,0.4861895161290323,0.3212701612903226,0,,2,aripiprazole|olanzapine,TRUE,compound
A-987306,CHRM3,4.3267984e-4,transformer,compound,crispr_avg,72,0.45,8,0.12903225806451613,4312,0.4346774193548387,0.2895161290322581,0,,3,aripiprazole|olanzapine|zamifenacin,TRUE,compound
A-987306,HTR3A,4.09148575e-4,transformer,compound,crispr_avg,73,0.45625,9,0.14516129032258066,4349,0.43840725806451614,0.30070564516129034,0,,3,aripiprazole|olanzapine|procaine,TRUE,compound
BAN-ORL-24,OPRL1,0.01186393549999999,transformer,compound,crispr_avg,41,0.25625,8,0.12903225806451613,1345,0.13558467741935484,0.19264112903225805,0,,1,MCOPPB,TRUE,compound
BAY-87-2243,HIF1A,0.00648870599999999,transformer,compound,crispr_avg,51,0.31875,23,0.3709677419354839,2105,0.21219758064516128,0.3448588709677419,0,,1,YC-1,TRUE,compound
BVT-948,PTPN2,0.0189110505,transformer,compound,crispr_avg,18,0.05625,4,0.06451612903225806,612,0.06169354838709677,0.06038306451612903,0,,0,,FALSE,neither
BVT-948,PTPN2,0.01510669099999999,transformer,compound,crispr_avg,29,0.090625,11,0.1774193548387097,1012,0.10201612903225808,0.13402217741935485,0,,0,,FALSE,neither
CCG-50014,RGS4,0.0207887655,transformer,compound,crispr_avg,19,0.11875,2,0.03225806451612903,467,0.0470766129032258,0.07550403225806451,0,,1,CCG-63802,TRUE,compound
CYT-997,TUBB,0.36756285,transformer,compound,crispr_avg,2,0.0125,1,0.01612903225806451,16,0.00161290322580645,0.01431451612903225,0,,3,colchicine|epothilone-b|oxibendazole,TRUE,compound
DG-172,PPARD,0.0050846717,transformer,compound,crispr_avg,63,0.39375,20,0.3225806451612903,2366,0.23850806451612905,0.35816532258064515,0,,0,,FALSE,neither
EI1,EZH2,2.3852912e-5,transformer,compound,crispr_avg,129,0.80625,57,0.9193548387096774,7915,0.797883064516129,0.8628024193548387,0,,1,UNC1999,TRUE,compound
FPS-ZM1,AGER,6.418171e-5,transformer,compound,crispr_avg,100,0.625,44,0.7096774193548387,5913,0.5960685483870968,0.6673387096774194,0,,0,,FALSE,neither
GW-311616,ELANE,1.2834992800000002e-4,transformer,compound,crispr_avg,45,0.28125,39,0.6290322580645161,5282,0.5324596774193548,0.45514112903225806,0,,0,,FALSE,neither
L-Cystine,SLC7A11,0.029050392,transformer,compound,crispr_avg,18,0.1125,1,0.01612903225806451,275,0.02772177419354838,0.06431451612903226,0,,1,sulfasalazine,TRUE,compound
ML-228,HIF1A,0.013398018,transformer,compound,crispr_avg,34,0.2125,11,0.1774193548387097,1187,0.11965725806451612,0.19495967741935483,0,,1,YC-1,TRUE,compound
N-alpha-Methylhistamine-dihydrochloride,HRH4,1.31689045e-5,transformer,compound,crispr_avg,154,0.9625,56,0.9032258064516128,9624,0.9701612903225808,0.9328629032258065,0,,1,olanzapine,TRUE,compound
NBQX,GRIN2A,4.04355465e-4,transformer,compound,crispr_avg,51,0.31875,40,0.6451612903225806,4359,0.43941532258064514,0.4819556451612903,0,,1,TCN201,TRUE,compound
NSC-95397,CDC25A,2.327340435e-4,transformer,compound,crispr_avg,37,0.23125,46,0.7419354838709677,4790,0.4828629032258064,0.48659274193548385,0,,0,,FALSE,neither
NVP-ADW742,IGF1R,0.051692767,transformer,compound,crispr_avg,11,0.06875,1,0.01612903225806451,159,0.01602822580645161,0.04243951612903226,0,,2,BMS-536924|ceritinib,TRUE,compound
NVP-AEW541,IGF1R,1.51613345e-4,transformer,compound,crispr_avg,98,0.6125,39,0.6290322580645161,5155,0.5196572580645161,0.6207661290322581,0,,2,BMS-536924|ceritinib,TRUE,compound
NVP-HSP990,HSP90AA1,0.0189531655,transformer,compound,crispr_avg,15,0.09375,3,0.04838709677419355,608,0.06129032258064516,0.07106854838709678,0,,2,ganetespib|geldanamycin,TRUE,compound
NVP-HSP990,HSP90AB1,0.01818770599999999,transformer,compound,crispr_avg,25,0.15625,2,0.03225806451612903,683,0.0688508064516129,0.09425403225806452,0,,1,geldanamycin,TRUE,compound
OMDM-2,GPR119,0.0154477155,transformer,compound,crispr_avg,12,0.075,9,0.14516129032258066,969,0.09768145161290324,0.11008064516129032,0,,0,,FALSE,neither
PETCM,CASP3,6.7296048e-4,transformer,compound,crispr_avg,56,0.35,26,0.41935483870967744,4008,0.40403225806451615,0.3846774193548387,0,,2,NQDI-1|minocycline,TRUE,compound
PF-04217903,MET,1.76295485e-4,transformer,compound,crispr_avg,78,0.4875,22,0.3548387096774194,5014,0.5054435483870968,0.42116935483870965,0,,2,BMS-536924|SGX523,TRUE,compound
PF-05190457,GHSR,0.023277858,transformer,compound,crispr_avg,5,0.03125,2,0.03225806451612903,371,0.0373991935483871,0.03175403225806451,0,,1,ibutamoren,TRUE,compound
PHA-793887,CDK2,0.558524225,transformer,compound,crispr_avg,2,0.0125,1,0.01612903225806451,7,7.056451612903225e-4,0.01431451612903225,0,,6,BMS-536924|NSC-625987|RGB-286638|TG-02|aminopurvalanol-a|ryuvidine,TRUE,compound
PHA-793887,CDK4,0.2201174925,transformer,compound,crispr_avg,7,0.04375,1,0.01612903225806451,37,0.00372983870967741,0.02993951612903225,0,,4,NSC-625987|RGB-286638|arcyriaflavin-a|ryuvidine,TRUE,compound
PHA-793887,CDK7,0.339411925,transformer,compound,crispr_avg,4,0.025,1,0.01612903225806451,19,0.00191532258064516,0.02056451612903226,0,,2,RGB-286638|TG-02,TRUE,compound
PHA-793887,CDK9,0.29829127,transformer,compound,crispr_avg,5,0.03125,1,0.01612903225806451,23,0.00231854838709677,0.02368951612903225,0,,2,RGB-286638|TG-02,TRUE,compound
RKI-1447,PAK1,0.0018773409725,transformer,compound,crispr_avg,44,0.275,39,0.6290322580645161,3271,0.32973790322580643,0.4520161290322581,0,,0,,FALSE,neither
SB-202190,AKT1,0.00144137775,transformer,compound,crispr_avg,17,0.10625,10,0.16129032258064516,3477,0.35050403225806454,0.13377016129032257,0,,4,BMS-536924|GSK2110183|PD-98059|SB-203580,TRUE,compound
SB-202190,LCK,0.003365431,transformer,compound,crispr_avg,8,0.05,9,0.14516129032258066,2735,0.2757056451612903,0.09758064516129034,0,,6,BMS-536924|PD-98059|PP-2|SB-203580|ZM-336372|ponatinib,TRUE,compound
SB-202190,MAPK14,0.002348939,transformer,compound,crispr_avg,12,0.075,7,0.1129032258064516,3078,0.31028225806451615,0.0939516129032258,0,,3,PD-98059|SB-203580|ZM-336372,TRUE,compound
SB-202190,MAPK8,0.00288794485,transformer,compound,crispr_avg,9,0.05625,7,0.1129032258064516,2884,0.2907258064516129,0.08457661290322581,0,,4,CC-401|PD-98059|SB-203580|SU3327,TRUE,compound
SRC-kinase-inhibitor-I,CSK,1.3587008999999998e-5,transformer,compound,crispr_avg,141,0.88125,53,0.8548387096774194,9463,0.9539314516129032,0.8680443548387097,0,,0,,FALSE,neither
SRC-kinase-inhibitor-I,LCK,0.244050215,transformer,compound,crispr_avg,3,0.01875,1,0.01612903225806451,33,0.0033266129032258,0.01743951612903226,0,,6,BMS-536924|PD-98059|PP-2|SB-203580|ZM-336372|ponatinib,TRUE,compound
acalabrutinib,BTK,0.012189998,transformer,compound,crispr_avg,15,0.09375,8,0.12903225806451613,1299,0.1309475806451613,0.11139112903225806,0,,1,AVL-292,TRUE,compound
acetylcysteine,GRIN2A,0.0149096215,transformer,compound,crispr_avg,26,0.1625,9,0.14516129032258066,1033,0.10413306451612904,0.15383064516129033,0,,1,TCN201,TRUE,compound
acetylcysteine,SLC7A11,0.0149285835,transformer,compound,crispr_avg,25,0.15625,10,0.16129032258064516,1029,0.10372983870967742,0.15877016129032256,0,,1,sulfasalazine,TRUE,compound
amiloride,ASIC1,1.29329595e-5,transformer,compound,crispr_avg,141,0.88125,61,0.9838709677419356,9702,0.9780241935483872,0.9325604838709678,0,,2,benzamil|nafamostat,TRUE,compound
amiloride,SCNN1G,1.2495594e-5,transformer,compound,crispr_avg,156,0.975,60,0.967741935483871,9831,0.9910282258064516,0.9713709677419357,0,,1,benzamil,TRUE,compound
amlexanox,FGF1,4.9910295e-5,transformer,compound,crispr_avg,116,0.725,31,0.5,6248,0.6298387096774194,0.6125,0,,1,pazopanib,TRUE,compound
amlexanox,PDE4D,1.85497245e-5,transformer,compound,crispr_avg,149,0.93125,47,0.7580645161290323,8489,0.8557459677419355,0.8446572580645162,0,,4,Ro-20-1724|dyphylline|ibudilast|zaprinast,TRUE,compound
amlodipine,CACNA2D3,0.0067237217,transformer,compound,crispr_avg,53,0.33125,19,0.3064516129032258,2054,0.20705645161290323,0.3188508064516129,0,,1,nilvadipine,TRUE,compound
azeliragon,AGER,0.0105786738,transformer,compound,crispr_avg,39,0.24375,4,0.06451612903225806,1514,0.15262096774193548,0.154133064516129,0,,0,,FALSE,neither
brinzolamide,CA14,5.155146e-5,transformer,compound,crispr_avg,94,0.5875,40,0.6451612903225806,6207,0.6257056451612903,0.6163306451612903,0,,3,carzenide|coumarin|ethoxzolamide,TRUE,compound
brinzolamide,CA5A,1.73926085e-4,transformer,compound,crispr_avg,80,0.5,37,0.5967741935483871,5033,0.5073588709677419,0.5483870967741935,0,,1,ethoxzolamide,TRUE,compound
cilostazol,PDE3A,2.2300801e-5,transformer,compound,crispr_avg,123,0.76875,41,0.6612903225806451,8106,0.8171370967741935,0.7150201612903226,0,,3,Ro-20-1724|dyphylline|ibudilast,TRUE,compound
danusertib,AURKB,0.05338390349999999,transformer,compound,crispr_avg,4,0.025,5,0.08064516129032258,153,0.01542338709677419,0.05282258064516129,0,,3,AMG900|GSK1070916|orantinib,TRUE,compound
danusertib,NTRK1,1.3015164e-5,transformer,compound,crispr_avg,160,1,53,0.8548387096774194,9673,0.9751008064516128,0.9274193548387096,0,,2,LOXO-101|regorafenib,TRUE,compound
danusertib,RET,1.029563675e-4,transformer,compound,crispr_avg,28,0.175,16,0.25806451612903225,5454,0.5497983870967742,0.21653225806451612,0,,3,PP-1|ponatinib|regorafenib,TRUE,compound
delanzomib,CTSG,1.807533e-4,transformer,compound,crispr_avg,59,0.36875,30,0.4838709677419355,4992,0.5032258064516129,0.42631048387096776,0,,1,aloxistatin,TRUE,compound
delanzomib,CYP3A4,1.89013575e-5,transformer,compound,crispr_avg,91,0.56875,47,0.7580645161290323,8443,0.8511088709677419,0.6634072580645161,0,,7,BMS-536924|GSK1070916|SB-203580|cyclophosphamide|methoxsalen|nevirapine|paliperidone,TRUE,compound
delanzomib,ELANE,2.2347397e-5,transformer,compound,crispr_avg,87,0.54375,61,0.9838709677419356,8102,0.816733870967742,0.7638104838709677,0,,0,,FALSE,neither
diacerein,IL1B,0.17005177500000002,transformer,compound,crispr_avg,10,0.0625,2,0.03225806451612903,50,0.00504032258064516,0.04737903225806451,0,,3,JTE-607|ibudilast|minocycline,TRUE,compound
diltiazem,CACNG1,1.48234975e-4,transformer,compound,crispr_avg,104,0.65,31,0.5,5174,0.5215725806451613,0.575,0,,2,ibutilide|lercanidipine,TRUE,compound
diltiazem,HTR3A,3.232251e-5,transformer,compound,crispr_avg,123,0.76875,30,0.4838709677419355,7069,0.712600806451613,0.6263104838709678,0,,3,aripiprazole|olanzapine|procaine,TRUE,compound
edoxaban,F10,2.62559685e-5,transformer,compound,crispr_avg,121,0.75625,54,0.8709677419354839,7629,0.7690524193548387,0.8136088709677419,0,,0,,FALSE,neither
efaproxiral,HBB,0.00861414577,transformer,compound,crispr_avg,27,0.16875,18,0.2903225806451613,1796,0.1810483870967742,0.22953629032258063,0,,0,,FALSE,neither
efaroxan,ADORA2A,8.02916265e-4,transformer,compound,crispr_avg,18,0.1125,19,0.3064516129032258,3893,0.3924395161290323,0.2094758064516129,0,,3,ANR-94|N6-cyclopentyladenosine|dyphylline,TRUE,compound
enilconazole,CYP1A2,2.2413813e-4,transformer,compound,crispr_avg,118,0.7375,21,0.3387096774193548,4817,0.4855846774193549,0.5381048387096774,0,,2,methoxsalen|nevirapine,TRUE,compound
enilconazole,CYP3A4,5.24937295e-5,transformer,compound,crispr_avg,147,0.91875,21,0.3387096774193548,6182,0.6231854838709677,0.6287298387096774,0,,7,BMS-536924|GSK1070916|SB-203580|cyclophosphamide|methoxsalen|nevirapine|paliperidone,TRUE,compound
filgotinib,JAK1,5.527188500000001e-4,transformer,compound,crispr_avg,110,0.6875,19,0.3064516129032258,4125,0.4158266129032258,0.4969758064516129,0,,2,TG-101348|ruxolitinib,TRUE,compound
flindokalner,KCNMA1,2.1248439500000003e-5,transformer,compound,crispr_avg,110,0.6875,38,0.6129032258064516,8208,0.8274193548387097,0.6502016129032258,0,,2,NS-11021|procaine,TRUE,compound
flindokalner,KCNN4,5.1465143e-5,transformer,compound,crispr_avg,60,0.375,23,0.3709677419354839,6209,0.6259072580645161,0.37298387096774194,0,,4,1-EBIO|NS-309|enflurane|procaine,TRUE,compound
flindokalner,KCNQ2,1.54500665e-5,transformer,compound,crispr_avg,152,0.95,47,0.7580645161290323,8995,0.9067540322580644,0.8540322580645161,0,,2,dalfampridine|meclofenamic-acid,TRUE,compound
flupirtine,KCNQ2,0.0020719672,transformer,compound,crispr_avg,66,0.4125,19,0.3064516129032258,3170,0.31955645161290325,0.3594758064516129,0,,2,dalfampridine|meclofenamic-acid,TRUE,compound
gabapentin-enacarbil,CACNA2D3,0.010540737,transformer,compound,crispr_avg,48,0.3,14,0.2258064516129032,1519,0.153125,0.2629032258064516,0,,1,nilvadipine,TRUE,compound
gabapentin-enacarbil,CACNB4,0.015056821,transformer,compound,crispr_avg,32,0.2,4,0.06451612903225806,1014,0.10221774193548389,0.13225806451612904,0,,0,,FALSE,neither
gabapentin-enacarbil,CACNG1,0.00112418695,transformer,compound,crispr_avg,91,0.56875,18,0.2903225806451613,3644,0.3673387096774194,0.4295362903225806,0,,2,ibutilide|lercanidipine,TRUE,compound
ixabepilone,TUBB,0.0852290725,transformer,compound,crispr_avg,6,0.0375,4,0.06451612903225806,97,0.00977822580645161,0.05100806451612903,0,,3,colchicine|epothilone-b|oxibendazole,TRUE,compound
ixabepilone,TUBB3,0.13815274,transformer,compound,crispr_avg,2,0.0125,2,0.03225806451612903,59,0.00594758064516129,0.02237903225806451,0,,2,colchicine|epothilone-b,TRUE,compound
ixabepilone,TUBB4B,0.14168159,transformer,compound,crispr_avg,1,0.00625,2,0.03225806451612903,57,0.00574596774193548,0.01925403225806451,0,,3,colchicine|epothilone-b|oxibendazole,TRUE,compound
menadione,F10,8.66540114e-4,transformer,compound,crispr_avg,97,0.60625,20,0.3225806451612903,3824,0.3854838709677419,0.4644153225806451,0,,0,,FALSE,neither
prasugrel,P2RY12,0.00310183049999999,transformer,compound,crispr_avg,62,0.3875,19,0.3064516129032258,2816,0.2838709677419355,0.3469758064516129,0,,1,AZD1283,TRUE,compound
quinine,KCNN4,0.0540014215,transformer,compound,crispr_avg,13,0.08125,3,0.04838709677419355,151,0.01522177419354838,0.06481854838709677,0,,4,1-EBIO|NS-309|enflurane|procaine,TRUE,compound
racecadotril,MME,0.01115853255,transformer,compound,crispr_avg,32,0.2,11,0.1774193548387097,1427,0.1438508064516129,0.18870967741935485,0,,1,sacubitril,TRUE,compound
saclofen,KCTD16,2.2277073e-4,transformer,compound,crispr_avg,100,0.625,29,0.46774193548387094,4820,0.4858870967741936,0.5463709677419355,0,,1,baclofen,TRUE,compound
sorbinil,AKR1B1,2.228201e-5,transformer,compound,crispr_avg,159,0.99375,60,0.967741935483871,8108,0.8173387096774194,0.9807459677419356,0,,1,citric-acid,TRUE,compound
sotrastaurin,PRKCB,4.8437777e-5,transformer,compound,crispr_avg,57,0.35625,40,0.6451612903225806,6299,0.6349798387096774,0.5007056451612903,0,,2,CGP-53353|vitamin-E,TRUE,compound
sotrastaurin,PRKCE,4.2389742e-5,transformer,compound,crispr_avg,65,0.40625,45,0.7258064516129032,6513,0.6565524193548387,0.5660282258064516,0,,1,afimoxifene,TRUE,compound
taladegib,DHH,0.016180605,transformer,compound,crispr_avg,9,0.05625,9,0.14516129032258066,911,0.09183467741935485,0.10070564516129032,0,,1,M-25,TRUE,compound
thiostrepton,FOXM1,0.0010564698,transformer,compound,crispr_avg,102,0.31875,35,0.5645161290322581,3680,0.3709677419354839,0.44163306451612905,0,,0,,FALSE,neither
thiostrepton,FOXM1,4.1115345e-5,transformer,compound,crispr_avg,244,0.7625,43,0.6935483870967742,6572,0.6625,0.7280241935483871,0,,0,,FALSE,neither
triamterene,SCNN1G,0.00458368075,transformer,compound,crispr_avg,20,0.125,22,0.3548387096774194,2467,0.24868951612903223,0.2399193548387097,0,,1,benzamil,TRUE,compound
1-octanol,GJB4,8.53756335e-4,transformerx,compound,crispr_avg,37,0.23125,29,0.46774193548387094,4201,0.4234879032258064,0.3494959677419355,0,,1,flufenamic-acid,TRUE,compound
"2,5-furandimethanol",HBB,1.58101415e-4,transformerx,compound,crispr_avg,105,0.65625,55,0.8870967741935484,6707,0.676108870967742,0.7716733870967742,0,,0,,FALSE,neither
2-Oleoylglycerol,GPR119,0.0014110537,transformerx,compound,crispr_avg,80,0.5,25,0.4032258064516129,3624,0.36532258064516127,0.4516129032258064,0,,0,,FALSE,neither
A-987306,AVPR1A,0.007716386,transformerx,compound,crispr_avg,31,0.19375,10,0.16129032258064516,1622,0.16350806451612904,0.17752016129032258,0,,1,conivaptan,TRUE,compound
A-987306,CCR1,0.0061323017,transformerx,compound,crispr_avg,67,0.41875,12,0.1935483870967742,1995,0.2011088709677419,0.3061491935483871,0,,1,ZK811752,TRUE,compound
A-987306,CHRM2,0.351916905,transformerx,compound,crispr_avg,2,0.0125,1,0.01612903225806451,2,2.0161290322580645e-4,0.01431451612903225,0,,2,aripiprazole|olanzapine,TRUE,compound
A-987306,CHRM3,0.25705836000000004,transformerx,compound,crispr_avg,5,0.03125,3,0.04838709677419355,39,0.00393145161290322,0.03981854838709677,0,,3,aripiprazole|olanzapine|zamifenacin,TRUE,compound
A-987306,HTR3A,0.32228413499999997,transformerx,compound,crispr_avg,3,0.01875,1,0.01612903225806451,8,8.064516129032258e-4,0.01743951612903226,0,,3,aripiprazole|olanzapine|procaine,TRUE,compound
BAN-ORL-24,OPRL1,0.006805842847,transformerx,compound,crispr_avg,42,0.2625,6,0.0967741935483871,1844,0.18588709677419352,0.17963709677419354,0,,1,MCOPPB,TRUE,compound
